PYPL;9;14.38;-0.18;Usd
OKE;2;2.4;-0.2;Usd
MCD;2;-0.69;0;Usd
UDR;2;1.2;-0.04;Usd
MOEX;4;-69.7;-7.97;Rub
MET;2;1.58;-0.10;Usd
PFE;9;-91.69;-1.24;Usd
MRK;2;-0.32;-0.16;Usd
VZ;2;0.92;-0.12;Usd
IBM;6;3.14;-0.38;Usd
KZOS;3;-12375;-14.94;Rub
XOM;2;4.86;-0.13;Usd
YNDX;6;309.0;-38.38;Rub
MSFT;12;-8.88;-0.2;Usd
BABA;82;-256.17;-8.61;Usd
HAS;2;-1.67;0;Usd
GNL;6;-1.45;-0.44;Usd
KEY;5;0.38;-0.18;Usd
GAZP;5;457;-29.92;Rub
BAC;5;-0.03;-0.23;Usd
CFG;2;4.11;-0.11;Usd
INTC;4;-3.65;-0.16;Usd
RDS.A;2;1.54;0;Usd
SWX;5;2.70;-0.82;Usd
KHC;2;1.11;0;Usd
CAH;4;4.92;-0.38;Usd
ALRS;5;362.0;-17.80;Rub
PG;6;4.42;-0.56;Usd
SELG;2;86;-8.80;Rub
JNJ;2;1.20;0;Usd
TATNP;2;104;-9.47;Rub
MAIL;14;-474.0;-16.41;Rub
MGNT;1;-15420;-7.71;Rub
STAG;4;11.31;-0.48;Usd
M;10;1.07;0;Usd
T;12;-13.63;-1.02;Usd
PGR;6;-2.43;-0.77;Usd
SRC;2;0.53;-0.2;Usd
LKOH;15;1448;-166.50;Rub
CVX;4;7.14;-0.37;Usd
FOX;2;-0.84;-0.09;Usd
V;2;2.2;-0.2;Usd
ABBV;8;4.45;-0.6;Usd
EA;14;67.15;-0.48;Usd
SBER;22;860.4;-108.85;Rub
PBCT;2;-0.21;-0.10;Usd
IP;5;2.20;-0.36;Usd
O;15;12.92;-1.57;Usd
NLMK;5;234;-41.94;Rub
SO;2;1.64;-0.12;Usd
MTSS;9;-16064.0;-35.10;Rub
MAGN;5;310.15;-39.57;Rub
SIBN;2;140;-12.83;Rub
KMI;5;4.63;-0.43;Usd
TOT;8;-0.32;-0.75;Usd
REGI;8;2.39;-0.06;Usd
KO;5;3.46;-0.19;Usd
DSKY;4;-79.2;-5.21;Rub
LNTA;6;-144.5;-9.68;Rub
ABT;23;10.62;-1.54;Usd
POLY;6;508.0;-43.59;Rub
BEN;2;0.52;-0.06;Usd
GLTR;2;-20820;-7.78;Rub
FIVE;6;-13007;-27.68;Rub
