AA_BBG00B3T3HD3_2021-01-28;AA;1;14;3.78;1.53
AMAT_BBG000BBPFB9_2021-01-28;AMAT;1;2;-1.18;-0.60
AMCX_BBG000H01H92_2021-01-28;AMCX;1;5;-1.40;-0.59
APA_BBG000BC2C10_2021-01-28;APA;2;34;-0.34;-0.07
ARCT_BBG00NNW8JK1_2021-01-28;ARCT;1;3;2.94;1.47
BILI_BBG00K7T3037_2021-01-28;BILI;1;2;3.38;1.50
CCL_BBG000BF6LY3_2021-01-28;CCL;1;13;2.99;1.24
CHX_BBG00JH9TZ56_2021-01-28;CHX;1;15;-0.15;-0.07
CTVA_BBG00BN969C1_2021-01-28;CTVA;1;2;0.32;0.43
DIS_BBG000BH4R78_2021-01-28;DIS;1;1;-1.20;-0.74
DISCA_BBG000CHWP52_2021-01-28;DISCA;1;5;-1.40;-0.67
DISCK_BBG000VMWHH5_2021-01-28;DISCK;1;7;1.89;0.85
DKNG_BBG00TCBG714_2021-01-28;DKNG;2;8;9.20;2.23
F_BBG000BQPC32_2021-01-28;F;1;23;0.00;0
FANG_BBG002PHSYX9_2021-01-28;FANG;1;4;1.52;0.70
FB_BBG000MM2P62_2021-01-28;FB;1;1;0.58;0.22
FSLY_BBG004NLQHL0_2021-01-28;FSLY;1;2;-1.68;-0.79
FTI_BBG00DL8NMV2_2021-01-28;FTI;1;23;5.52;2.23
GE_BBG000BK6MB5_2021-01-28;GE;1;22;0.44;0.18
GLW_BBG000BKFZM4_2021-01-28;GLW;1;7;1.05;0.44
IRM_BBG000KCZPC3_2021-01-28;IRM;1;7;-2.94;-1.21
JWN_BBG000G8N9C6_2021-01-28;JWN;1;6;-0.06;-0.03
KO_BBG000BMX289_2021-01-28;KO;1;5;2.55;1.07
KR_BBG000BMY992_2021-01-28;KR;1;6;-0.36;-0.16
LTHM_BBG00LV3NRG0_2021-01-28;LTHM;1;13;0.78;0.31
M_BBG000C46HM9_2021-01-28;M;2;29;1.45;0.30
MAC_BBG000BL9C59_2021-01-28;MAC;1;11;5.61;2.44
MFGP_BBG00HFWVGN0_2021-01-28;MFGP;1;42;2.52;1.03
NET_BBG001WMKHH5_2021-01-28;NET;1;1;0.51;0.70
NOK_BBG000BNGBW9_2021-01-28;NOK;2;79;30.02;6.06
NTES_BBG000BX72V8_2021-01-28;NTES;1;2;-1.26;-0.54
NTLA_BBG007KC7PB0_2021-01-28;NTLA;1;4;0.40;0.18
OXY_BBG000BQQ2S6_2021-01-28;OXY;1;12;2.04;0.85
PBF_BBG002832GV8_2021-01-28;PBF;1;23;3.68;1.51
PBI_BBG000BQTMJ9_2021-01-28;PBI;1;23;1.61;0.67
PLCE_BBG000JK9DK4_2021-01-28;PLCE;1;3;1.65;0.80
QRVO_BBG007TJF1N7_2021-01-28;QRVO;1;1;3.25;2.04
RDFN_BBG001Q7HP63_2021-01-28;RDFN;1;3;-0.81;-0.38
SFIX_BBG0046L1KL9_2021-01-28;SFIX;1;2;-0.94;-0.47
SNAP_BBG00441QMJ7_2021-01-28;SNAP;1;5;3.45;1.47
SPCE_BBG00HTN2CQ3_2021-01-28;SPCE;1;5;45.00;21.18
SPCE_BBG00HTN2CQ3_2021-01-28;SPCE;2;10;8.00;1.65
SPCE_BBG00HTN2CQ3_2021-01-28;SPCE;1;5;3.60;1.52
TER_BBG000BV4DR6_2021-01-28;TER;1;2;-0.68;-0.28
TRIP_BBG001M8HHB7_2021-01-28;TRIP;1;7;-2.80;-1.20
TSLA_BBG000N9MNX3_2021-01-28;TSLA;1;1;4.38;0.53
TSM_BBG000BD8ZK0_2021-01-28;TSM;2;4;6.12;1.32
UNM_BBG000BW2QX0_2021-01-28;UNM;1;1;0.02;0.08
VIAC_BBG000C496P7_2021-01-28;VIAC;1;4;-3.80;-1.79
ZYXI_BBG000BJBXZ2_2021-01-28;ZYXI;1;12;5.64;2.38
