AAL_BBG005P7Q881_2021-02-26;AAL;1;12;-3.00;-1.24
ANGI_BBG00HVKH3Q0_2021-02-26;ANGI;1;16;1.60;0.66
ARCT_BBG00NNW8JK1_2021-02-26;ARCT;1;4;-2.44;-1.21
ATVI_BBG000CVWGS6_2021-02-26;ATVI;1;2;0.40;0.22
BBBY_BBG000CSY9H9_2021-02-26;BBBY;1;9;-1.98;-0.86
BIDU_BBG000QXWHD1_2021-02-26;BIDU;1;1;-7.05;-2.50
BILI_BBG00K7T3037_2021-02-26;BILI;1;2;1.96;0.79
CCL_BBG000BF6LY3_2021-02-26;CCL;1;10;-0.70;-0.28
CHGG_BBG0014XR0N5_2021-02-26;CHGG;1;2;-0.92;-0.50
CLF_BBG000BFRF55_2021-02-26;CLF;1;17;3.91;1.63
CNK_BBG000QDVR53_2021-02-26;CNK;1;11;0.99;0.40
COTY_BBG000F395V1_2021-02-26;COTY;1;32;-8.32;-3.43
DAL_BBG000R7Z112_2021-02-26;DAL;1;5;-1.45;-0.62
DKNG_BBG00TCBG714_2021-02-26;DKNG;1;4;4.04;1.80
DT_BBG00PNN7C40_2021-02-26;DT;1;5;7.30;3.01
ENDP_BBG000C0HQ54_2021-02-26;ENDP;1;29;1.74;0.70
ENPH_BBG001R3MNY9_2021-02-26;ENPH;1;1;-1.19;-0.73
ET_BBG000BM2FL9_2021-02-26;ET;2;63;0.63;0.13
FSLY_BBG004NLQHL0_2021-02-26;FSLY;1;3;-0.06;-0.03
FTI_BBG00DL8NMV2_2021-02-26;FTI;1;30;2.10;0.87
HTHT_BBG000QFPM65_2021-02-26;HTHT;1;3;3.21;1.91
IBN_BBG000DRM643_2021-02-26;IBN;1;15;-2.25;-0.90
IIVI_BBG000BLW102_2021-02-26;IIVI;1;3;0.03;0.01
IPG_BBG000C90DH9_2021-02-26;IPG;1;9;2.07;0.90
LPSN_BBG000BSV0W5_2021-02-26;LPSN;1;4;0.28;0.12
LTHM_BBG00LV3NRG0_2021-02-26;LTHM;1;13;-0.13;-0.05
LUV_BBG000BNJHS8_2021-02-26;LUV;1;4;-1.12;-0.50
M_BBG000C46HM9_2021-02-26;M;1;16;-6.40;-2.61
MAC_BBG000BL9C59_2021-02-26;MAC;1;19;-0.95;-0.39
MFGP_BBG00HFWVGN0_2021-02-26;MFGP;2;85;3.40;0.68
MOMO_BBG007HTCQT0_2021-02-26;MOMO;1;15;3.75;1.59
MRNA_BBG003PHHZT1_2021-02-26;MRNA;1;1;3.08;2.12
MRO_BBG000C8H633_2021-02-26;MRO;1;22;3.08;1.27
MTG_BBG000CBMH27_2021-02-26;MTG;1;20;2.00;0.82
MUR_BBG000BPMH90_2021-02-26;MUR;1;15;2.40;0.98
NET_BBG001WMKHH5_2021-02-26;NET;2;6;-0.18;-0.04
NFLX_BBG000CL9VN6_2021-02-26;NFLX;1;1;5.41;1.02
NVDA_BBG000BBJQV0_2021-02-26;NVDA;1;1;8.76;1.68
PAGS_BBG00JM7QBR6_2021-02-26;PAGS;1;4;2.44;1.14
PBF_BBG002832GV8_2021-02-26;PBF;1;17;1.70;0.70
PINS_BBG002583CV8_2021-02-26;PINS;1;3;-1.05;-0.46
PYPL_BBG0077VNXV6_2021-02-26;PYPL;1;1;-6.42;-2.57
QCOM_BBG000CGC1X8_2021-02-26;QCOM;1;1;-0.29;-0.22
RCL_BBG000BB5792_2021-02-26;RCL;1;2;-1.78;-0.99
SAVE_BBG000BF6RQ9_2021-02-26;SAVE;1;7;-0.77;-0.32
SEDG_BBG0084BBZY6_2021-02-26;SEDG;1;1;-2.36;-0.85
SNAP_BBG00441QMJ7_2021-02-26;SNAP;1;4;2.84;1.16
SPCE_BBG00HTN2CQ3_2021-02-26;SPCE;1;6;6.06;2.83
SPG_BBG000BJ2D31_2021-02-26;SPG;1;2;0.78;0.35
SPR_BBG000PRJ2Z9_2021-02-26;SPR;1;5;0.60;0.28
SQ_BBG0018SLC07_2021-02-26;SQ;1;1;0.70;0.32
TRIP_BBG001M8HHB7_2021-02-26;TRIP;1;6;2.10;0.85
TSLA_BBG000N9MNX3_2021-02-26;TSLA;1;1;1.20;0.18
TSM_BBG000BD8ZK0_2021-02-26;TSM;1;2;-0.04;-0.02
UAL_BBG000M65M61_2021-02-26;UAL;2;10;7.20;1.46
UAL_BBG000M65M61_2021-02-26;UAL;1;5;8.05;3.40
UPWK_BBG00FBJ6390_2021-02-26;UPWK;1;5;1.05;0.42
VALE_BBG000BN5LG7_2021-02-26;VALE;1;14;2.38;1.01
VIPS_BBG002NLDLV8_2021-02-26;VIPS;1;6;-3.84;-1.72
ZGNX_BBG000VDC3G9_2021-02-26;ZGNX;1;11;1.32;0.56
ZYNE_BBG007BBS8B7_2021-02-26;ZYNE;1;58;3.48;1.39
ZYXI_BBG000BJBXZ2_2021-02-26;ZYXI;1;14;-5.18;-2.15
