AA;1;11;-1.65;-0.67
AAL;1;14;-3.36;-1.34
ACH;1;25;-6.00;-2.43
ADSK;1;1;-4.53;-1.45
AES;1;8;-1.68;-0.72
AMAT;1;2;-1.48;-0.61
ANGI;1;15;-5.25;-2.19
APA;1;13;3.64;1.53
APTV;1;1;-1.65;-1.04
ATRA;1;12;-1.80;-0.78
BBBY;1;8;-2.88;-1.29
BBY;1;2;-0.46;-0.19
BIDU;1;1;-4.17;-1.29
BIIB;1;1;-1.95;-0.70
BYND;1;1;-2.07;-1.13
CCL;1;11;1.10;0.46
CLR;1;10;-2.70;-1.09
CLR;1;10;-3.50;-1.42
CNK;1;11;-2.42;-1.04
COP;1;5;-1.85;-0.76
COTY;1;35;3.85;1.57
COTY;1;34;-0.34;-0.14
CPRI;1;5;0.30;0.13
CRM;1;1;3.81;1.56
DFS;1;2;0.28;0.15
DOCU;1;1;2.99;1.12
ENTG;1;2;1.00;0.47
EOG;1;3;-1.59;-0.84
ETRN;1;33;-0.99;-0.40
EXAS;1;1;0.00;0
EXEL;1;11;-4.51;-1.81
FATE;1;2;1.06;0.51
FCX;1;7;-4.76;-2.05
FIVN;1;1;1.44;0.80
FRHC;1;4;0.04;0.02
GE;1;20;-2.40;-1.01
GOOG;1;1;5.77;0.27
GOOGL;1;1;6.36;0.30
GPS;1;10;-0.70;-0.30
HAL;1;11;-1.65;-0.72
HES;1;4;-1.76;-0.71
HFC;1;7;0.91;0.39
HP;1;8;-2.88;-1.23
HST;1;16;3.84;1.59
ILMN;1;1;0.18;0.04
JD;1;2;-3.86;-1.83
JD;1;2;-3.32;-1.59
KLAC;1;1;-0.09;-0.03
LB;1;5;-1.05;-0.43
LKQ;1;6;1.26;0.56
LRCX;1;1;-1.06;-0.18
LTHM;1;10;0.80;0.35
LVS;1;4;-1.44;-0.63
MAC;1;18;0.00;0
MOMO;1;11;-2.97;-1.29
MOS;1;8;1.04;0.43
MPC;1;4;1.28;0.62
MRO;1;26;1.82;0.74
MUR;1;16;0.32;0.13
NOV;1;17;-3.06;-1.24
NTLA;1;3;-4.17;-1.99
NTLA;1;3;-1.50;-0.71
OIS;1;37;0.74;0.30
OVV;1;11;0.44;0.18
PBF;1;22;-4.40;-1.79
PBF;1;21;5.67;2.37
PBI;1;27;-3.51;-1.42
PINS;1;2;0.76;0.44
PSX;1;3;-0.84;-0.35
QRTEA;1;18;2.88;1.19
QRVO;1;1;-1.97;-1.10
RCL;1;3;3.30;1.57
RCL;1;3;-2.01;-0.90
RDFN;1;2;-2.92;-1.57
RDS.A;1;6;-0.96;-0.40
ROKU;1;1;-2.19;-0.45
RRC;1;22;-3.30;-1.37
RRC;1;23;-1.15;-0.46
SAVE;1;7;-2.38;-1.08
SEDG;1;1;-2.47;-0.72
SFIX;1;2;-1.90;-1.10
SFIX;1;2;-1.64;-0.93
SPG;1;2;-2.98;-1.34
STLD;1;6;3.66;1.52
SWBI;1;13;-0.65;-0.27
SWBI;1;13;2.60;1.06
SWN;1;55;-1.10;-0.44
SWN;1;54;-3.78;-1.52
SWN;1;53;-3.71;-1.50
TDOC;1;1;1.85;0.61
TER;1;1;-1.20;-0.81
TOT;1;5;-2.45;-1.11
TOT;1;5;-2.50;-1.12
TRMB;1;3;-0.78;-0.34
TTWO;1;1;-1.05;-0.53
TWOU;1;4;-4.16;-1.79
TWTR;1;3;0.78;0.35
UPWK;1;4;-0.84;-0.35
UPWK;1;4;-1.88;-0.78
USFD;1;6;3.66;1.69
VIAC;1;4;-0.24;-0.10
WYNN;1;2;-0.60;-0.24
YUMC;1;3;2.64;1.39
YY;1;1;-0.80;-0.57
YY;1;1;-0.76;-0.53
Z;1;1;-2.15;-1.05
ZM;1;1;3.84;0.87
ZYNE;1;41;-2.87;-1.16
