AAL;1;1;-0.09;-0.54
AAL;1;1;-0.24;-1.28
ABT;1;1;3.76;3.16
ADSK;1;1;-1.36;-0.48
ALK;1;1;0.26;0.52
AMGN;1;1;-9.27;-3.53
ANGI;1;1;-0.08;-0.51
APLE;1;1;-0.06;-0.47
APLE;1;1;0.03;0.23
APTV;1;1;-0.46;-0.35
ARCT;1;1;0.04;0.06
ARCT;1;1;-0.58;-0.83
ATRA;1;1;-0.48;-2.47
BHF;1;1;-0.08;-0.21
BILI;1;1;-0.10;-0.08
BLDR;1;1;0.07;0.18
BZUN;1;1;-0.44;-1.02
CARR;1;1;0.74;2.00
CCL;1;1;-0.22;-1.14
CDNS;1;1;-0.35;-0.26
CHGG;1;1;-0.93;-0.98
CHGG;1;1;0.92;0.98
CHX;1;1;0.00;0
CHX;1;1;0.33;2.19
CLF;1;1;-0.09;-0.54
CLR;1;1;1.61;7.42
CMA;1;1;-0.54;-0.93
CMCSA;1;1;-0.40;-0.79
CMCSA;1;1;-0.38;-0.74
COF;1;1;0.10;0.10
COG;1;1;0.00;0
CORT;1;1;0.86;2.94
COTY;1;1;-0.16;-2.27
CPRI;1;1;-0.43;-1.02
CREE;1;1;-0.45;-0.43
CROX;1;1;0.85;1.24
CTSH;1;1;1.21;1.57
CVET;1;1;-0.49;-1.36
DAL;1;1;1.39;3.47
DBX;1;1;-0.38;-1.59
DFS;1;1;-0.01;-0.01
DHR;1;1;2.10;0.92
DIS;1;1;-2.30;-1.36
DRI;1;1;-0.08;-0.07
DT;1;1;-0.87;-2.07
DXC;1;1;0.06;0.21
DXC;1;1;0.11;0.37
DXCM;1;1;-1.13;-0.31
EDIT;1;1;-0.99;-1.58
EDIT;1;1;-1.01;-1.58
EDIT;1;1;-0.11;-0.18
EIX;1;1;0.28;0.48
ENDP;1;1;-0.18;-2.43
ENDP;1;1;-0.06;-0.81
ENPH;1;1;-0.86;-0.47
ETRN;1;1;-0.07;-1.06
ETRN;1;1;-0.04;-0.59
ETSY;1;1;-1.65;-0.80
EVH;1;1;0.02;0.11
EW;1;1;-1.29;-1.51
EXAS;1;1;0.58;0.41
EXPE;1;1;-2.02;-1.57
F;1;1;-0.05;-0.46
FANG;1;1;0.30;0.51
FATE;1;1;2.78;3.09
FB;1;1;0.36;0.13
